Timestamp,H.Mercury
,
1926-10-23 12:00,280.211
1926-12-02 12:00,105.104
1927-01-19 12:00,280.304
1927-02-28 12:00,105.296
1927-04-17 12:00,280.395
1927-05-27 12:00,105.485
1927-07-14 12:00,280.487
1927-08-23 12:00,105.673
1927-10-10 12:00,280.579
1927-11-19 12:00,105.865
1928-01-06 12:00,280.672
1928-02-15 12:00,106.058
1928-04-03 12:00,280.765
1928-05-12 12:00,100.121
1928-06-30 12:00,280.857
1928-08-08 12:00,100.313
1928-09-26 12:00,280.949
1928-11-04 12:00,100.506
1928-12-23 12:00,281.042
1929-01-31 12:00,100.702
1929-03-21 12:00,281.136
1929-04-29 12:00,100.897
1929-06-17 12:00,281.229
1929-07-26 12:00,101.089
1929-09-13 12:00,281.322
1929-10-22 12:00,101.28
1929-12-10 12:00,281.414
1930-01-18 12:00,101.474
1930-03-08 12:00,281.508
1930-04-16 12:00,101.669
1930-06-04 12:00,281.602
1930-07-13 12:00,101.862
1930-08-31 12:00,281.696
1930-10-09 12:00,102.051
1930-11-27 12:00,281.788
1931-01-05 12:00,102.242
1931-02-23 12:00,281.881
1931-04-03 12:00,102.435
1931-05-22 12:00,281.974
1931-06-30 12:00,102.629
1931-08-18 12:00,282.068
1931-09-26 12:00,102.821
1931-11-14 12:00,282.16
1931-12-23 12:00,103.008
1932-02-10 12:00,282.254
1932-03-20 12:00,103.199
1932-05-08 12:00,282.346
1932-06-16 12:00,103.393
1932-08-04 12:00,282.44
1932-09-12 12:00,103.586
1932-10-31 12:00,282.532
1932-12-09 12:00,103.776
1933-01-27 12:00,282.626
1933-03-07 12:00,103.965
1933-04-25 12:00,282.718
1933-06-03 12:00,104.158
1933-07-22 12:00,282.813
1933-08-30 12:00,104.352
1933-10-17 12:00,280.006
1933-11-26 12:00,104.544
1934-01-13 12:00,280.099
1934-02-22 12:00,104.735
1934-04-11 12:00,280.189
1934-05-21 12:00,104.926
1934-07-08 12:00,280.283
1934-08-17 12:00,105.12
1934-10-04 12:00,280.376
1934-11-13 12:00,105.313
1934-12-31 12:00,280.47
1935-02-09 12:00,105.503
1935-03-29 12:00,280.562
1935-05-08 12:00,105.693
1935-06-25 12:00,280.653
1935-08-04 12:00,105.885
1935-09-21 12:00,280.747
1935-10-31 12:00,106.077
1935-12-18 12:00,280.84
