"Date","Open","High","Low","Close","Volume","OpenInt"
10/29/1981,49.50,49.75,48.38,49.00,3794000,0
01/14/1987,116.12,118.75,115.75,118.62,12760000,0
01/31/1989,128.75,130.88,127.37,130.63,9513600,0
08/23/1990,96.75,98.37,96.50,96.87,9709600,0
02/19/1991,137.25,139.75,137.00,139.50,9112400,0
08/17/1995,112.37,114.62,112.25,113.62,12118800,0
02/27/1996,125.12,128.88,124.50,128.75,18451600,0
03/22/2001,89.12,91.00,87.65,89.10,13328200,0
09/27/2001,91.30,91.50,87.49,90.00,13172300,0
01/09/2002,124.70,126.39,124.15,124.49,6839900,0
10/10/2002,54.65,58.48,54.01,57.58,12670600,0
03/12/2003,75.25,75.63,73.17,75.18,12773700,0
04/20/2005,75.48,75.87,71.85,72.01,20366300,0
03/01/2007,90.25,93.05,88.77,92.27,12865700,0
07/24/2008,129.06,130.93,128.80,130.00,8946300,0
11/21/2008,72.74,76.98,69.50,74.88,19804500,0
10/15/2010,142.10,142.10,140.54,141.06,7220400,0
03/16/2011,156.52,156.98,151.71,153.00,12195300,0
06/15/2011,162.75,163.41,161.52,162.33,5225600,0
04/03/2012,209.31,210.69,208.54,209.50,4091500,0
07/12/2012,184.25,184.39,181.85,183.09,4931300,0
